Gesture_Sequence,Natural_Sentence
Wait+Help+Pain,Wait a moment. Please help me. And I am in pain.
Wait+Help+Emergency,Please hold on. Please help me. And this is urgent!
Wait+Help+Home,Wait a moment. Please help me. And I want to go home.
Wait+Stop+Hello,"Give me a second. Please stop. And hello."
Wait+Stop+Goodbye,Wait a moment. Please stop. And goodbye.
Wait+Stop+Yes,"Give me a second. Please halt. And yes."
Wait+Stop+No,"Wait a moment. Please wait right there. And no."
Wait+Stop+Please,"Please hold on. Please stop. And if you would, please."
Wait+Stop+ThankYou,Please hold on. Please halt. And thanks.
Wait+Stop+Sorry,Give me a second. Please stop. And I am sorry.
Wait+Stop+Help,Wait a moment. Please wait right there. And I need your help.
Wait+Stop+Hungry,Please hold on. Please halt. And I'm hungry.
Wait+Stop+Water,Wait a moment. Please wait right there. And I need a drink.
Wait+Stop+Pain,Please hold on. Please halt. And it hurts.
Wait+Stop+Emergency,Wait a moment. Please stop. And this is an emergency!
Wait+Stop+Home,Please hold on. Please wait right there. And let's go home.
Wait+Hungry+Hello,"Give me a second. I need food. And hello."
Wait+Hungry+Goodbye,Please hold on. I'm hungry. And goodbye.
Wait+Hungry+Yes,"Please hold on. Please get me food. And yes."
Wait+Hungry+No,"Please hold on. I'm hungry. And no."
Wait+Hungry+Please,"Wait a moment. Please get me food. And if you would, please."
Wait+Hungry+ThankYou,Please hold on. Please get me food. And much appreciated.
Wait+Hungry+Sorry,Please hold on. I need food. And I am sorry.
Wait+Hungry+Help,Wait a moment. I'm hungry. And I need your assistance.
Wait+Hungry+Stop,Give me a second. Please get me food. And please stop.
Wait+Hungry+Water,Give me a second. I'm hungry. And I'm thirsty.
Wait+Hungry+Pain,Wait a moment. I need food. And I'm in pain.
Wait+Hungry+Emergency,Wait a moment. I'm hungry. And this is urgent!
Wait+Hungry+Home,Wait a moment. I need food. And let's go home.
Wait+Water+Hello,"Please hold on. I need a drink. And hello."
Wait+Water+Goodbye,Wait a moment. Please get me a drink. And goodbye.
Wait+Water+Yes,"Wait a moment. I need water. And yes."
Wait+Water+No,"Wait a moment. I'm thirsty. And no."
Wait+Water+Please,"Wait a moment. Please get me a drink. And if you would, please."
Wait+Water+ThankYou,Please hold on. I'm thirsty. And thank you.
Wait+Water+Sorry,Wait a moment. I need water. And I am sorry.
Wait+Water+Help,Please hold on. I'm thirsty. And I need your help.
Wait+Water+Stop,Please hold on. I need water. And please wait right there.
Wait+Water+Hungry,Wait a moment. I'm thirsty. And I need food.
Wait+Water+Pain,Give me a second. I'm thirsty. And it hurts.
Wait+Water+Emergency,Wait a moment. I need water. And this is an emergency!
Wait+Water+Home,Please hold on. Please get me a drink. And take me home.
Wait+Pain+Hello,"Give me a second. I'm in pain. And hello."
Wait+Pain+Goodbye,Wait a moment. I'm in pain. And goodbye.
Wait+Pain+Yes,"Please hold on. I'm in pain. And yes."
Wait+Pain+No,"Please hold on. I'm in pain. And no."
Wait+Pain+Please,"Give me a second. I am in pain. And if you would, please."
Wait+Pain+ThankYou,Wait a moment. It hurts. And thanks.
Wait+Pain+Sorry,Please hold on. I am in pain. And I am sorry.
Wait+Pain+Help,Give me a second. It hurts. And I need your assistance.
Wait+Pain+Stop,Please hold on. It hurts. And please stop.
Wait+Pain+Hungry,Give me a second. It hurts. And I'm hungry.
Wait+Pain+Water,Wait a moment. I am in pain. And I need a drink.
Wait+Pain+Emergency,Give me a second. It hurts. And this is an emergency!
Wait+Pain+Home,Please hold on. It hurts. And I want to go home.
Wait+Emergency+Hello,"Wait a moment. This is urgent! And hello."
Wait+Emergency+Goodbye,Please hold on. This is an emergency! And goodbye.
Wait+Emergency+Yes,"Wait a moment. This is an emergency! And yes."
Wait+Emergency+No,"Please hold on. This is an emergency! And no."
Wait+Emergency+Please,"Please hold on. This is an emergency! And if you would, please."
Wait+Emergency+ThankYou,Wait a moment. This is urgent! And thank you.
Wait+Emergency+Sorry,Please hold on. This is urgent! And I am sorry.
Wait+Emergency+Help,Please hold on. This is urgent! And I need your help.
Wait+Emergency+Stop,Please hold on. This is an emergency! And please stop.
Wait+Emergency+Hungry,Give me a second. This is urgent! And I'm hungry.
Wait+Emergency+Water,Please hold on. This is an emergency! And I need water.
Wait+Emergency+Pain,Please hold on. This is urgent! And it hurts.
Wait+Emergency+Home,Give me a second. This is urgent! And take me home.
Wait+Home+Hello,"Please hold on. Take me home. And hello."
Wait+Home+Goodbye,Please hold on. I want to go home. And goodbye.
Wait+Home+Yes,"Please hold on. Let's go home. And yes."
Wait+Home+No,"Wait a moment. Take me home. And no."
Wait+Home+Please,"Please hold on. Let's go home. And if you would, please."
Wait+Home+ThankYou,Please hold on. Let's go home. And much appreciated.
Wait+Home+Sorry,Wait a moment. I want to go home. And I am sorry.
Wait+Home+Help,Wait a moment. Take me home. And I need your help.
Wait+Home+Stop,Wait a moment. Take me home. And please wait right there.
Wait+Home+Hungry,Please hold on. I want to go home. And I'm hungry.
Wait+Home+Water,Give me a second. Let's go home. And I'm thirsty.
Wait+Home+Pain,Give me a second. I want to go home. And I am in pain.
Wait+Home+Emergency,Please hold on. Let's go home. And this is an emergency!
Hungry+Hello+Goodbye,"I need food. Hello. And goodbye."
Hungry+Hello+Yes,"Please get me food. Hello. And yes, that is correct."
Hungry+Hello+No,"I need food. Hello. And no, that is incorrect."
Hungry+Hello+Please,"Please get me food. Hello. And if you would, please."
Hungry+Hello+ThankYou,"I need food. Hello. And much appreciated."
Hungry+Hello+Sorry,"Please get me food. Hello. And I am sorry."
Hungry+Hello+Help,"I'm hungry. Hello. And I need your assistance."
Hungry+Hello+Stop,"I'm hungry. Hello. And please wait right there."
Hungry+Hello+Wait,"I need food. Hello. And please hold on."
Hungry+Hello+Water,"I'm hungry. Hello. And I'm thirsty."
Hungry+Hello+Pain,"I need food. Hello. And I am in pain."
Hungry+Hello+Emergency,"Please get me food. Hello. And this is an emergency!"
Hungry+Hello+Home,"I need food. Hello. And let's go home."
Hungry+Goodbye+Hello,"Please get me food. Goodbye. And hello."
Hungry+Goodbye+Yes,"Please get me food. Goodbye. And yes."
Hungry+Goodbye+No,"Please get me food. Goodbye. And no."
Hungry+Goodbye+Please,"I'm hungry. Goodbye. And if you would, please."
Hungry+Goodbye+ThankYou,Please get me food. Goodbye. And thanks.
Hungry+Goodbye+Sorry,I need food. Goodbye. And I am sorry.
Hungry+Goodbye+Help,Please get me food. Goodbye. And I need your assistance.
Hungry+Goodbye+Stop,I'm hungry. Goodbye. And please wait right there.
Hungry+Goodbye+Wait,Please get me food. Goodbye. And hold on.
Hungry+Goodbye+Water,I'm hungry. Goodbye. And I'm thirsty.
Hungry+Goodbye+Pain,Please get me food. Goodbye. And I'm in pain.
Hungry+Goodbye+Emergency,Please get me food. Goodbye. And this is an emergency!
Hungry+Goodbye+Home,Please get me food. Goodbye. And let's go home.
Hungry+Yes+Hello,"I need food. Yes, that is correct. And hello."
Hungry+Yes+Goodbye,"I'm hungry. Yes. And goodbye."
Hungry+Yes+No,"Please get me food. Yes. And no, that is incorrect."
Hungry+Yes+Please,"Please get me food. Yes. And if you would, please."
Hungry+Yes+ThankYou,"Please get me food. Yes. And much appreciated."
Hungry+Yes+Sorry,"I need food. Yes. And I am sorry."
Hungry+Yes+Help,"I'm hungry. Yes. And I need your help."
Hungry+Yes+Stop,"I'm hungry. Yes. And please stop."
Hungry+Yes+Wait,"I need food. Yes. And please wait a moment."
Hungry+Yes+Water,"Please get me food. Yes. And I need water."
Hungry+Yes+Pain,"Please get me food. Yes. And it hurts."
Hungry+Yes+Emergency,"Please get me food. Yes. And this is an emergency!"
Hungry+Yes+Home,"I'm hungry. Yes. And let's go home."
Hungry+No+Hello,"I'm hungry. No, that is incorrect. And hello."
Hungry+No+Goodbye,"Please get me food. No. And goodbye."
Hungry+No+Yes,"I'm hungry. No. And yes."
Hungry+No+Please,"Please get me food. No. And if you would, please."
Hungry+No+ThankYou,"I'm hungry. No. And much appreciated."
Hungry+No+Sorry,"I need food. No. And I am sorry."
Hungry+No+Help,"Please get me food. No. And I need your assistance."
Hungry+No+Stop,"I need food. No. And please stop."
Hungry+No+Wait,"I need food. No. And hold on."
Hungry+No+Water,"Please get me food. No. And I need a drink."
Hungry+No+Pain,"I need food. No. And it hurts."
Hungry+No+Emergency,"I need food. No. And this is an emergency!"
Hungry+No+Home,"I'm hungry. No. And I want to go home."
Hungry+Please+Hello,"I need food. If you would, please. And hello."
Hungry+Please+Goodbye,"I need food. If you would, please. And goodbye."
Hungry+Please+Yes,"Please get me food. If you would, please. And yes."
Hungry+Please+No,"Please get me food. If you would, please. And no."
Hungry+Please+ThankYou,"Please get me food. If you would, please. And much appreciated."
Hungry+Please+Sorry,"I'm hungry. If you would, please. And I am sorry."
Hungry+Please+Help,"I'm hungry. If you would, please. And I need your assistance."
Hungry+Please+Stop,"I'm hungry. If you would, please. And please wait right there."
Hungry+Please+Wait,"I need food. If you would, please. And hold on."
Hungry+Please+Water,"I need food. If you would, please. And I need water."
Hungry+Please+Pain,"Please get me food. If you would, please. And I'm in pain."
Hungry+Please+Emergency,"I need food. If you would, please. And this is urgent!"
Hungry+Please+Home,"I'm hungry. If you would, please. And I want to go home."
Hungry+ThankYou+Hello,"I need food. Much appreciated. And hello."
Hungry+ThankYou+Goodbye,"I need food. Thanks. And goodbye."
Hungry+ThankYou+Yes,"Please get me food. Thanks. And yes."
Hungry+ThankYou+No,"I need food. Thank you. And no."
Hungry+ThankYou+Please,"I need food. Thanks. And if you would, please."
Hungry+ThankYou+Sorry,"Please get me food. Thank you. And I am sorry."
Hungry+ThankYou+Help,"I'm hungry. Thank you. And I need your help."
Hungry+ThankYou+Stop,I'm hungry. Much appreciated. And please stop.
Hungry+ThankYou+Wait,I need food. Thank you. And wait a moment.
Hungry+ThankYou+Water,Please get me food. Thanks. And I need a drink.
Hungry+ThankYou+Pain,I need food. Thanks. And I am in pain.
Hungry+ThankYou+Emergency,I'm hungry. Thank you. And this is an emergency!
Hungry+ThankYou+Home,Please get me food. Thanks. And let's go home.
Hungry+Sorry+Hello,"I need food. I am sorry. And hello."
Hungry+Sorry+Goodbye,I'm hungry. My apologies. And goodbye.
Hungry+Sorry+Yes,"Please get me food. I'm sorry. And yes."
Hungry+Sorry+No,"I'm hungry. I apologize. And no."
Hungry+Sorry+Please,"I'm hungry. I'm sorry. And if you would, please."
Hungry+Sorry+ThankYou,Please get me food. I apologize. And thanks.
Hungry+Sorry+Help,Please get me food. I'm sorry. And I need your assistance.
Hungry+Sorry+Stop,Please get me food. I'm sorry. And please wait right there.
Hungry+Sorry+Wait,Please get me food. My apologies. And give me a second.
Hungry+Sorry+Water,Please get me food. I apologize. And I'm thirsty.
Hungry+Sorry+Pain,Please get me food. I apologize. And I am in pain.
Hungry+Sorry+Emergency,Please get me food. I'm sorry. And this is an emergency!
Hungry+Sorry+Home,Please get me food. I apologize. And take me home.
Hungry+Help+Hello,"I'm hungry. I need your help. And hello."
Hungry+Help+Goodbye,I need food. I need your assistance. And goodbye.
Hungry+Help+Yes,"I need food. I need your help. And yes."
Hungry+Help+No,"I'm hungry. Please help me. And no."
Hungry+Help+Please,"I'm hungry. Please help me. And if you would, please."
Hungry+Help+ThankYou,Please get me food. Please help me. And much appreciated.
Hungry+Help+Sorry,I'm hungry. I need your help. And I am sorry.
Hungry+Help+Stop,I need food. Please assist me. And please stop.
Hungry+Help+Wait,I need food. I need your assistance. And give me a second.
Hungry+Help+Water,Please get me food. Please help me. And I need a drink.
Hungry+Help+Pain,I need food. Please help me. And I am in pain.
Hungry+Help+Emergency,Please get me food. I need your help. And this is an emergency!
Hungry+Help+Home,I need food. I need your assistance. And take me home.
Hungry+Stop+Hello,"Please get me food. Please wait right there. And hello."
Hungry+Stop+Goodbye,I'm hungry. Please halt. And goodbye.
Hungry+Stop+Yes,"Please get me food. Please halt. And yes."
Hungry+Stop+No,"I'm hungry. Please halt. And no."
Hungry+Stop+Please,"Please get me food. Please stop. And if you would, please."
Hungry+Stop+ThankYou,Please get me food. Please stop. And much appreciated.
Hungry+Stop+Sorry,Please get me food. Please stop. And I am sorry.
Hungry+Stop+Help,I need food. Please stop. And I need your help.
Hungry+Stop+Wait,I need food. Please stop. And hold on.
Hungry+Stop+Water,I'm hungry. Please halt. And I need water.
Hungry+Stop+Pain,I'm hungry. Please stop. And I am in pain.
Hungry+Stop+Emergency,I'm hungry. Please stop. And this is urgent!
Hungry+Stop+Home,I'm hungry. Please wait right there. And take me home.
Hungry+Wait+Hello,"I'm hungry. Please wait a moment. And hello."
Hungry+Wait+Goodbye,I'm hungry. Give me a second. And goodbye.
Hungry+Wait+Yes,"Please get me food. Give me a second. And yes."
Hungry+Wait+No,"I'm hungry. Please hold on. And no."
Hungry+Wait+Please,"I need food. Give me a second. And if you would, please."
Hungry+Wait+ThankYou,I'm hungry. Please wait a moment. And thank you.
Hungry+Wait+Sorry,I'm hungry. Please wait a moment. And I am sorry.
Hungry+Wait+Help,I need food. Please hold on. And I need your assistance.
Hungry+Wait+Stop,Please get me food. Give me a second. And please wait right there.
Hungry+Wait+Water,I need food. Please wait a moment. And I need water.
Hungry+Wait+Pain,I need food. Please wait a moment. And I'm in pain.
Hungry+Wait+Emergency,I'm hungry. Please hold on. And this is an emergency!
Hungry+Wait+Home,I'm hungry. Please hold on. And take me home.
Hungry+Water+Hello,"I need food. I need a drink. And hello."
Hungry+Water+Goodbye,I'm hungry. I'm thirsty. And goodbye.
Hungry+Water+Yes,"I need food. I need water. And yes."
Hungry+Water+No,"I need food. I'm thirsty. And no."
Hungry+Water+Please,"I'm hungry. I need water. And if you would, please."
Hungry+Water+ThankYou,I'm hungry. I'm thirsty. And thanks.
Hungry+Water+Sorry,Please get me food. I need water. And I am sorry.
Hungry+Water+Help,I'm hungry. I need water. And I need your help.
Hungry+Water+Stop,I need food. I'm thirsty. And please stop.
Hungry+Water+Wait,Please get me food. I need water. And give me a second.
Hungry+Water+Pain,I need food. I need water. And I'm in pain.
Hungry+Water+Emergency,I need food. I need water. And this is urgent!
Hungry+Water+Home,I'm hungry. I'm thirsty. And I want to go home.
Hungry+Pain+Hello,"I need food. I'm in pain. And hello."
Hungry+Pain+Goodbye,I need food. It hurts. And goodbye.
Hungry+Pain+Yes,"Please get me food. It hurts. And yes."
Hungry+Pain+No,"Please get me food. I am in pain. And no."
Hungry+Pain+Please,"Please get me food. It hurts. And if you would, please."
Hungry+Pain+ThankYou,I need food. It hurts. And much appreciated.
Hungry+Pain+Sorry,Please get me food. I am in pain. And I am sorry.
Hungry+Pain+Help,I need food. It hurts. And I need your help.
Hungry+Pain+Stop,I'm hungry. I am in pain. And please stop.
Hungry+Pain+Wait,I need food. I am in pain. And hold on.
Hungry+Pain+Water,I need food. It hurts. And I need a drink.
Hungry+Pain+Emergency,Please get me food. It hurts. And this is an emergency!
Hungry+Pain+Home,Please get me food. It hurts. And I want to go home.
Hungry+Emergency+Hello,"I need food. This is an emergency! And hello."
Hungry+Emergency+Goodbye,Please get me food. This is urgent! And goodbye.
Hungry+Emergency+Yes,"Please get me food. This is urgent! And yes."
Hungry+Emergency+No,"I need food. This is an emergency! And no."
Hungry+Emergency+Please,"I need food. This is an emergency! And if you would, please."
Hungry+Emergency+ThankYou,I'm hungry. This is an emergency! And thanks.
Hungry+Emergency+Sorry,I need food. This is an emergency! And I am sorry.
Hungry+Emergency+Help,Please get me food. This is an emergency! And I need your help.
Hungry+Emergency+Stop,I need food. This is urgent! And please wait right there.
Hungry+Emergency+Wait,I need food. This is an emergency! And wait a moment.
Hungry+Emergency+Water,I'm hungry. This is urgent! And I'm thirsty.
Hungry+Emergency+Pain,I need food. This is an emergency! And I'm in pain.
Hungry+Emergency+Home,Please get me food. This is urgent! And let's go home.
Hungry+Home+Hello,"I'm hungry. I want to go home. And hello."
Hungry+Home+Goodbye,I'm hungry. Let's go home. And goodbye.
Hungry+Home+Yes,"Please get me food. Take me home. And yes."
Hungry+Home+No,"I need food. I want to go home. And no."
Hungry+Home+Please,"I need food. Take me home. And if you would, please."
Hungry+Home+ThankYou,I need food. Let's go home. And thank you.
Hungry+Home+Sorry,I'm hungry. Let's go home. And I am sorry.
Hungry+Home+Help,Please get me food. Let's go home. And I need your help.
Hungry+Home+Stop,I'm hungry. Take me home. And please wait right there.
Hungry+Home+Wait,Please get me food. Take me home. And wait a moment.
Hungry+Home+Water,I need food. Take me home. And I'm thirsty.
Hungry+Home+Pain,I need food. Let's go home. And I am in pain.
Hungry+Home+Emergency,Please get me food. Take me home. And this is an emergency!
Water+Hello+Goodbye,"I need water. Hello. And goodbye."
Water+Hello+Yes,"Please get me a drink. Hello. And yes, that is correct."
Water+Hello+No,"Please get me a drink. Hello. And no, that is incorrect."
Water+Hello+Please,"Please get me a drink. Hello. And if you would, please."
Water+Hello+ThankYou,"I'm thirsty. Hello. And much appreciated."
Water+Hello+Sorry,"Please get me a drink. Hello. And I am sorry."
Water+Hello+Help,"I need water. Hello. And I need your help."
Water+Hello+Stop,"I'm thirsty. Hello. And please wait right there."
Water+Hello+Wait,"I'm thirsty. Hello. And please wait a moment."
Water+Hello+Hungry,"Please get me a drink. Hello. And I'm hungry."
Water+Hello+Pain,"I need water. Hello. And it hurts."
Water+Hello+Emergency,"I'm thirsty. Hello. And this is an emergency!"
Water+Hello+Home,"I'm thirsty. Hello. And I want to go home."
Water+Goodbye+Hello,"I need water. Goodbye. And hello."
Water+Goodbye+Yes,"I'm thirsty. Goodbye. And yes."
Water+Goodbye+No,"I need water. Goodbye. And no."
Water+Goodbye+Please,"I'm thirsty. Goodbye. And if you would, please."
Water+Goodbye+ThankYou,"I'm thirsty. Goodbye. And thanks."
Water+Goodbye+Sorry,"Please get me a drink. Goodbye. And I am sorry."
Water+Goodbye+Help,"Please get me a drink. Goodbye. And I need your help."
Water+Goodbye+Stop,"I'm thirsty. Goodbye. And please stop."
Water+Goodbye+Wait,"I need water. Goodbye. And wait a moment."
Water+Goodbye+Hungry,Please get me a drink. Goodbye. And I need food.
Water+Goodbye+Pain,I'm thirsty. Goodbye. And I am in pain.
Water+Goodbye+Emergency,Please get me a drink. Goodbye. And this is an emergency!
Water+Goodbye+Home,I'm thirsty. Goodbye. And take me home.
Water+Yes+Hello,"I'm thirsty. Yes, that is correct. And hello."
Water+Yes+Goodbye,"Please get me a drink. Yes. And goodbye."
Water+Yes+No,"Please get me a drink. Yes. And no, that is incorrect."
Water+Yes+Please,"Please get me a drink. Yes. And if you would, please."
Water+Yes+ThankYou,"I'm thirsty. Yes. And thank you."
Water+Yes+Sorry,"I'm thirsty. Yes. And I am sorry."
Water+Yes+Help,"Please get me a drink. Yes. And I need your help."
Water+Yes+Stop,"Please get me a drink. Yes. And please stop."
Water+Yes+Wait,"I'm thirsty. Yes. And give me a second."
Water+Yes+Hungry,"Please get me a drink. Yes. And I need food."
Water+Yes+Pain,"I need water. Yes. And I am in pain."
Water+Yes+Emergency,"Please get me a drink. Yes. And this is urgent!"
Water+Yes+Home,"I'm thirsty. Yes. And I want to go home."
Water+No+Hello,"I need water. No, that is incorrect. And hello."
Water+No+Goodbye,"I'm thirsty. No. And goodbye."
Water+No+Yes,"I'm thirsty. No. And yes, that is correct."
Water+No+Please,"I need water. No. And if you would, please."
Water+No+ThankYou,"I need water. No. And thanks."
Water+No+Sorry,"Please get me a drink. No. And I am sorry."
Water+No+Help,"I need water. No. And I need your assistance."
Water+No+Stop,"I'm thirsty. No. And please wait right there."
Water+No+Wait,"I need water. No. And hold on."
Water+No+Hungry,"I need water. No. And I'm hungry."
Water+No+Pain,"Please get me a drink. No. And it hurts."
Water+No+Emergency,"Please get me a drink. No. And this is an emergency!"
Water+No+Home,"I'm thirsty. No. And let's go home."
Water+Please+Hello,"Please get me a drink. If you would, please. And hello."
Water+Please+Goodbye,"I need water. If you would, please. And goodbye."
Water+Please+Yes,"Please get me a drink. If you would, please. And yes."
Water+Please+No,"Please get me a drink. If you would, please. And no."
Water+Please+ThankYou,"I'm thirsty. If you would, please. And thank you."
Water+Please+Sorry,"I need water. If you would, please. And I am sorry."
Water+Please+Help,"I need water. If you would, please. And I need your assistance."
Water+Please+Stop,"I need water. If you would, please. And please stop."
Water+Please+Wait,"I need water. If you would, please. And wait a moment."
Water+Please+Hungry,"I'm thirsty. If you would, please. And I need food."
Water+Please+Pain,"Please get me a drink. If you would, please. And I am in pain."
Water+Please+Emergency,"I need water. If you would, please. And this is urgent!"
Water+Please+Home,"I need water. If you would, please. And let's go home."
Water+ThankYou+Hello,"I'm thirsty. Thanks. And hello."
Water+ThankYou+Goodbye,"Please get me a drink. Much appreciated. And goodbye."
Water+ThankYou+Yes,"Please get me a drink. Thanks. And yes."
Water+ThankYou+No,"Please get me a drink. Much appreciated. And no."
Water+ThankYou+Please,"Please get me a drink. Thank you. And if you would, please."
Water+ThankYou+Sorry,"I need water. Thanks. And I am sorry."
Water+ThankYou+Help,"I'm thirsty. Much appreciated. And I need your assistance."
Water+ThankYou+Stop,I'm thirsty. Much appreciated. And please wait right there.
Water+ThankYou+Wait,I'm thirsty. Much appreciated. And give me a second.
Water+ThankYou+Hungry,Please get me a drink. Much appreciated. And I need food.
Water+ThankYou+Pain,Please get me a drink. Thanks. And I am in pain.
Water+ThankYou+Emergency,I need water. Much appreciated. And this is urgent!
Water+ThankYou+Home,I'm thirsty. Thanks. And take me home.
Water+Sorry+Hello,"I need water. My apologies. And hello."
Water+Sorry+Goodbye,Please get me a drink. I'm sorry. And goodbye.
Water+Sorry+Yes,"I'm thirsty. I'm sorry. And yes."
Water+Sorry+No,"I'm thirsty. I'm sorry. And no."
Water+Sorry+Please,"I'm thirsty. I apologize. And if you would, please."
Water+Sorry+ThankYou,I need water. I'm sorry. And thank you.
Water+Sorry+Help,I'm thirsty. I apologize. And I need your help.
Water+Sorry+Stop,I need water. I'm sorry. And please wait right there.
Water+Sorry+Wait,Please get me a drink. I'm sorry. And hold on.
Water+Sorry+Hungry,Please get me a drink. I'm sorry. And I need food.
Water+Sorry+Pain,I'm thirsty. My apologies. And I am in pain.
Water+Sorry+Emergency,I'm thirsty. I apologize. And this is urgent!
Water+Sorry+Home,I'm thirsty. I'm sorry. And I want to go home.
Water+Help+Hello,"Please get me a drink. I need your help. And hello."
Water+Help+Goodbye,I need water. I need your assistance. And goodbye.
Water+Help+Yes,"I'm thirsty. Please help me. And yes."
Water+Help+No,"I'm thirsty. I need your help. And no."
Water+Help+Please,"I need water. I need your assistance. And if you would, please."
Water+Help+ThankYou,I need water. Please help me. And much appreciated.
Water+Help+Sorry,I need water. Please help me. And I am sorry.
Water+Help+Stop,I need water. Please assist me. And please wait right there.
Water+Help+Wait,Please get me a drink. Please help me. And wait a moment.
Water+Help+Hungry,I'm thirsty. I need your help. And I'm hungry.
Water+Help+Pain,Please get me a drink. Please help me. And I am in pain.
Water+Help+Emergency,I'm thirsty. Please help me. And this is urgent!
Water+Help+Home,Please get me a drink. Please help me. And take me home.
Water+Stop+Hello,"I'm thirsty. Please stop. And hello."
Water+Stop+Goodbye,Please get me a drink. Please halt. And goodbye.
Water+Stop+Yes,"I'm thirsty. Please stop. And yes."
Water+Stop+No,"I need water. Please wait right there. And no."
Water+Stop+Please,"Please get me a drink. Please stop. And if you would, please."
Water+Stop+ThankYou,"Please get me a drink. Please stop. And much appreciated."
Water+Stop+Sorry,"Please get me a drink. Please stop. And I am sorry."
Water+Stop+Help,"I'm thirsty. Please stop. And I need your help."
Water+Stop+Wait,"Please get me a drink. Please halt. And wait a moment."
Water+Stop+Hungry,I need water. Please wait right there. And I need food.
Water+Stop+Pain,Please get me a drink. Please stop. And it hurts.
Water+Stop+Emergency,I'm thirsty. Please wait right there. And this is urgent!
Water+Stop+Home,Please get me a drink. Please halt. And take me home.
Water+Wait+Hello,"I'm thirsty. Please wait a moment. And hello."
Water+Wait+Goodbye,I'm thirsty. Please wait a moment. And goodbye.
Water+Wait+Yes,"Please get me a drink. Please wait a moment. And yes."
Water+Wait+No,"I'm thirsty. Give me a second. And no."
Water+Wait+Please,"Please get me a drink. Please hold on. And if you would, please."
Water+Wait+ThankYou,I need water. Please wait a moment. And thanks.
Water+Wait+Sorry,Please get me a drink. Please hold on. And I am sorry.
Water+Wait+Help,I need water. Please wait a moment. And I need your help.
Water+Wait+Stop,I'm thirsty. Please wait a moment. And please wait right there.
Water+Wait+Hungry,I'm thirsty. Please hold on. And I need food.
Water+Wait+Pain,Please get me a drink. Please wait a moment. And it hurts.
Water+Wait+Emergency,Please get me a drink. Please hold on. And this is urgent!
Water+Wait+Home,I need water. Give me a second. And take me home.
Water+Hungry+Hello,"I need water. I need food. And hello."
Water+Hungry+Goodbye,I'm thirsty. I need food. And goodbye.
Water+Hungry+Yes,"Please get me a drink. I need food. And yes."
Water+Hungry+No,"Please get me a drink. I need food. And no."
Water+Hungry+Please,"I need water. Please get me food. And if you would, please."
Water+Hungry+ThankYou,I'm thirsty. I'm hungry. And thank you.
Water+Hungry+Sorry,Please get me a drink. I need food. And I am sorry.
Water+Hungry+Help,Please get me a drink. I need food. And I need your help.
Water+Hungry+Stop,Please get me a drink. I'm hungry. And please wait right there.
Water+Hungry+Wait,I'm thirsty. I need food. And wait a moment.
Water+Hungry+Pain,I'm thirsty. Please get me food. And I'm in pain.
Water+Hungry+Emergency,I need water. I need food. And this is an emergency!
Water+Hungry+Home,I need water. I'm hungry. And I want to go home.
Water+Pain+Hello,"Please get me a drink. I am in pain. And hello."
Water+Pain+Goodbye,I need water. I am in pain. And goodbye.
Water+Pain+Yes,"I'm thirsty. I'm in pain. And yes."
Water+Pain+No,"Please get me a drink. It hurts. And no."
Water+Pain+Please,"Please get me a drink. I am in pain. And if you would, please."
Water+Pain+ThankYou,Please get me a drink. It hurts. And thanks.
Water+Pain+Sorry,Please get me a drink. I'm in pain. And I am sorry.
Water+Pain+Help,I'm thirsty. It hurts. And I need your assistance.
Water+Pain+Stop,Please get me a drink. It hurts. And please stop.
Water+Pain+Wait,Please get me a drink. It hurts. And hold on.
Water+Pain+Hungry,I need water. I am in pain. And I need food.
Water+Pain+Emergency,Please get me a drink. I am in pain. And this is an emergency!
Water+Pain+Home,I need water. It hurts. And take me home.
Water+Emergency+Hello,"I'm thirsty. This is urgent! And hello."
Water+Emergency+Goodbye,I need water. This is an emergency! And goodbye.
Water+Emergency+Yes,"I need water. This is urgent! And yes."
Water+Emergency+No,"Please get me a drink. This is urgent! And no."
Water+Emergency+Please,"I need water. This is an emergency! And if you would, please."
Water+Emergency+ThankYou,I need water. This is an emergency! And thanks.
Water+Emergency+Sorry,I need water. This is urgent! And I am sorry.
Water+Emergency+Help,Please get me a drink. This is urgent! And I need your help.
Water+Emergency+Stop,Please get me a drink. This is an emergency! And please stop.
Water+Emergency+Wait,Please get me a drink. This is an emergency! And wait a moment.
Water+Emergency+Hungry,Please get me a drink. This is urgent! And I need food.
Water+Emergency+Pain,I'm thirsty. This is an emergency! And I'm in pain.
Water+Emergency+Home,I'm thirsty. This is urgent! And take me home.
Water+Home+Hello,"I need water. Let's go home. And hello."
Water+Home+Goodbye,Please get me a drink. I want to go home. And goodbye.
Water+Home+Yes,"I'm thirsty. Let's go home. And yes."
Water+Home+No,"Please get me a drink. I want to go home. And no."
Water+Home+Please,"I'm thirsty. Let's go home. And if you would, please."
Water+Home+ThankYou,Please get me a drink. Let's go home. And much appreciated.
Water+Home+Sorry,I'm thirsty. Take me home. And I am sorry.
Water+Home+Help,I'm thirsty. Let's go home. And I need your help.
Water+Home+Stop,Please get me a drink. Take me home. And please wait right there.
Water+Home+Wait,I need water. Let's go home. And give me a second.
Water+Home+Hungry,I need water. Take me home. And I need food.
Water+Home+Pain,I'm thirsty. I want to go home. And I'm in pain.
